,userId,movieId,tag,timestamp
2068,653,1013,60s,1540752076
2081,653,1035,60s,1540752475
2083,653,1073,70s,1540752965
2115,653,2090,children,1540753139
2138,653,3088,50s,1564340330
2139,653,3199,50s,1565554583
2150,653,4039,animals - live action,1562530025
2161,653,4835,80s,1532990596
2194,653,8636,Marvel,1546203959
2268,653,155288,own,1489953088
2273,653,177089,50s,1565559887
2294,743,910,classic comedy,1475490011
2324,791,69844,Owned,1515175405
2351,800,1907,animation,1520867535
2355,800,1907,strong female lead,1520867537
2359,800,59315,boring,1520866720
2396,800,115149,Hitman,1520867324
2406,800,122882,post-apocalyptic,1520866616
2421,800,122922,weak villain,1519472578
2470,801,1213,Martin Scorsese,1480448035
2496,801,74458,plot twist,1480447971
2501,801,148626,finance,1480450192
2571,848,115149,assassin,1474173554
2573,848,115149,come back,1474173614
2617,871,2959,atmospheric,1520481005
2632,871,3006,based on a true story,1536363240
2640,871,3006,true story,1536363230
2643,871,3535,Disturbing,1528520095
2692,871,5608,based on a true story,1528522872
2694,871,5608,disturbing,1528522889
2720,871,5690,tragic,1528586217
2745,871,27773,depressing,1520354143
2761,871,27831,Exquisite plotting.,1529210149
2762,871,27831,gangster,1529210159
2797,871,52328,psychological,1543448868
2815,871,52952,skinhead,1566194125
2843,871,56782,greed,1520344603
2858,871,63082,emotional,1520354063
2918,871,74228,endless loop,1562390677
2987,871,85213,good dialogue,1528523298
3098,871,108729,existential,1532122834
3105,871,108729,Psychological,1532122780
3107,871,108729,Symbolic,1532122789
3114,871,110882,realtime,1535598658
3148,871,112171,violent,1541226766
3175,871,114847,robots,1528519941
3360,871,182715,Tense,1535662066
3396,871,187031,Bad Writing,1536381643
3448,891,1188,dancing,1368110459
3479,891,55553,splatter,1368109963
3510,951,260,sci-fi,1439236430
3569,951,5992,Virginia Woolf,1439238690
3578,951,7323,Germany,1439235530
3793,1048,926,imdb top 250,1172071441
3889,1048,2019,imdb top 250,1172070139
3916,1048,2966,imdb top 250,1172145191
3948,1048,4878,imdb top 250,1172143184
3949,1048,4886,imdb top 250,1172145359
3994,1048,31410,imdb top 250,1172070988
4016,1072,778,surreal,1454961465
4019,1072,924,Stanley Kubrick,1455071636
4022,1072,1884,Terry Gilliam,1454961423
4023,1072,2858,dark comedy,1455071770
4103,1209,5620,romantic comedy,1190292504
4144,1232,128360,Dialogue,1454634360
4299,1367,6218,culture shock,1182527602
4306,1367,6807,philosophy,1182527643
4308,1367,8464,documentary,1182527953
4325,1442,4727,Nicolas Cage,1333308304
4422,1533,2502,comedy,1436990675
4535,1541,1237,religion,1433474951
4571,1541,4993,based on book,1433457081
4703,1541,104879,atmospheric,1433657619
4720,1541,127294,criminal,1434257805
4857,1578,7143,intense,1313269235
4874,1578,7361,Charlie Kaufman,1313268351
4886,1578,7361,relationships,1313268402
4896,1578,8784,funny,1313268731
4963,1578,59784,martial arts,1313269184
4973,1578,68157,French,1313269115
4993,1578,69757,humor,1313267898
4995,1578,69757,IMDB Top 250,1313267957
5010,1578,76093,adventure,1313268986
5103,1652,2819,intrigue,1503103313
5147,1652,5989,feel good movie,1503254038
5269,1652,176883,Hercule Poirot,1503370464
5349,1696,117728,comedy,1446272129
5418,1735,4370,Jude Law,1471798171
5445,1735,5971,nature spirits,1471798758
5574,1735,119145,Mark Strong,1471799056
5684,1876,102445,predictable,1375847728
5767,1881,69481,thoughtful,1300850447
5816,1883,1653,social commentary,1449452817
5878,1883,4878,surreal,1449455750
5912,1883,8784,romance,1449455226
5952,1883,34319,immortality,1449456111
5955,1883,34319,sci-fi,1449456116
6016,1883,70286,thriller,1449452510
6156,1883,104841,Hollow,1449452700
6157,1883,104841,intense,1449452667
6213,1883,109487,emotional,1449452964
6287,1899,356,Oscar (Best Picture),1147236253
6311,1899,1012,dog,1147237310
6333,1899,1288,mockumentary,1147238543
6370,1899,1955,Oscar (Best Picture),1147236259
6377,1899,1961,Oscar (Best Picture),1147235639
6539,2066,2858,kevin spacey,1467581364
6565,2066,55247,freedom,1457100636
6711,2165,32587,artistic,1479366798
6753,2165,59594,Hilary Duff,1250292704
6879,2168,58156,Bears,1352046270
6947,2287,13,Ei muista,1140552109
6954,2287,1033,Surullinen,1140552332
7004,2309,2387,dark comedy,1160537162
7007,2337,2497,based on a book,1444218449
7075,2375,96588,HOT actress,1403810386
7090,2403,832,thriller,1368563143
7143,2403,3300,predictable,1528003965
7153,2403,3911,nerds,1388009204
7162,2403,5785,stupid,1368563106
7209,2403,56367,growing up,1325988294
7234,2403,81819,ghosts,1341168193
7318,2403,109487,time-travel,1430419529
7323,2403,109673,nudity (topless),1539498990
7327,2403,109673,violence,1539498999
7361,2403,112552,Tense,1485981653
7365,2403,114601,family,1458942603
7386,2403,129354,Twist,1460026214
7624,2410,104841,sci-fi,1470837347
7820,2573,4499,classic,1495982865
7937,2585,119145,action,1500879848
7938,2585,119145,Secret Agency,1500879855
7939,2585,119145,spy,1500879839
7940,2585,122904,Action,1500879894
8010,2640,17,Jane Austen,1146874452
8014,2640,176,meta-indie,1146745756
8154,2640,30820,child abuse,1146989156
8327,2730,7361,love,1450764093
8360,2730,32840,stop motion,1450767854
8368,2730,45880,kirsten dunst,1450770455
8405,2730,79702,cultural references,1450770675
8636,2876,33836,Cute,1179441288
8665,2885,1206,good soundtrack,1560806868
8685,2885,2710,emotions,1560806756
8729,2885,7022,violence,1560808642
8786,2885,48833,finnish,1560807930
8873,2885,168612,animation remade as live action,1560809270
8958,3038,2324,optimism,1452184650
8961,3038,3967,ballet,1452193761
8970,3038,4310,realistic,1452186208
8973,3038,4995,biography,1452193297
27193,5503,33683,gore,1402826185
27266,5503,59727,disturbing,1402825899
27721,5572,5299,culture clash,1554292357
27821,5572,8516,heaven,1533642442
30749,6038,26282,Paris,1416504417
30848,6038,33794,batman,1421455800
31923,6038,106473,fantasy world,1420054240
31956,6038,106920,romance,1415157532
32591,6075,97921,Bradley Cooper,1566078299
33166,6285,154,DOUBLE LIFE,1173292103
33493,6285,527,cathartic,1171182671
33660,6285,681,CULTURE CLASH,1172959305
33794,6285,908,FLIGHT OF THE INNOCENT,1172874157
34162,6285,1212,disturbing,1172044157
35836,6285,3788,eerie,1172044402
36527,6285,5088,NOTHING GOES RIGHT,1174429046
40815,6550,179,college,1528591963
