movieId,title,genres
914,My Fair Lady (1964),Comedy|Drama|Musical|Romance
919,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical
924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
953,It's a Wonderful Life (1946),Children|Drama|Fantasy|Romance
1035,"Sound of Music, The (1965)",Musical|Romance
1080,Monty Python's Life of Brian (1979),Comedy
1088,Dirty Dancing (1987),Drama|Musical|Romance
1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
1175,Delicatessen (1991),Comedy|Drama|Romance
1183,"English Patient, The (1996)",Drama|Romance|War
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western
1203,12 Angry Men (1957),Drama
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
1213,Goodfellas (1990),Crime|Drama
1217,Ran (1985),Drama|War
1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama
1246,Dead Poets Society (1989),Drama
1250,"Bridge on the River Kwai, The (1957)",Adventure|Drama|War
1257,Better Off Dead... (1985),Comedy|Romance
1260,M (1931),Crime|Film-Noir|Thriller
1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi
1271,Fried Green Tomatoes (1991),Comedy|Crime|Drama
1275,Highlander (1986),Action|Adventure|Fantasy
1283,High Noon (1952),Drama|Western
1287,Ben-Hur (1959),Action|Adventure|Drama
1291,Indiana Jones and the Last Crusade (1989),Action|Adventure
1293,Gandhi (1982),Drama
1299,"Killing Fields, The (1984)",Drama|War
1302,Field of Dreams (1989),Children|Drama|Fantasy
1356,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi|Thriller
1374,Star Trek II: The Wrath of Khan (1982),Action|Adventure|Sci-Fi|Thriller
1376,Star Trek IV: The Voyage Home (1986),Adventure|Comedy|Sci-Fi
1393,Jerry Maguire (1996),Drama|Romance
1431,Beverly Hills Ninja (1997),Action|Comedy
1465,Rosewood (1997),Action|Drama
1466,Donnie Brasco (1997),Crime|Drama
1485,Liar Liar (1997),Comedy
1488,"Devil's Own, The (1997)",Action|Drama|Thriller
1527,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi
1580,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi
1584,Contact (1997),Drama|Sci-Fi
1587,Conan the Barbarian (1982),Action|Adventure|Fantasy
1610,"Hunt for Red October, The (1990)",Action|Adventure|Thriller
1653,Gattaca (1997),Drama|Sci-Fi|Thriller
1672,"Rainmaker, The (1997)",Drama
1674,Witness (1985),Drama|Romance|Thriller
1682,"Truman Show, The (1998)",Comedy|Drama|Sci-Fi
1693,Amistad (1997),Drama|Mystery
1704,Good Will Hunting (1997),Drama|Romance
1722,Tomorrow Never Dies (1997),Action|Adventure|Thriller
1873,"Misérables, Les (1998)",Crime|Drama|Romance|War
1907,Mulan (1998),Adventure|Animation|Children|Comedy|Drama|Musical|Romance
1923,There's Something About Mary (1998),Comedy|Romance
1951,Oliver! (1968),Drama|Musical
1957,Chariots of Fire (1981),Drama
1968,"Breakfast Club, The (1985)",Comedy|Drama
2011,Back to the Future Part II (1989),Adventure|Comedy|Sci-Fi
2012,Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western
2028,Saving Private Ryan (1998),Action|Drama|War
2068,Fanny and Alexander (Fanny och Alexander) (1982),Drama|Fantasy|Mystery
2081,"Little Mermaid, The (1989)",Animation|Children|Comedy|Musical|Romance
2083,"Muppet Christmas Carol, The (1992)",Children|Comedy|Musical
2115,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy
2138,Watership Down (1978),Adventure|Animation|Children|Drama|Fantasy
2139,"Secret of NIMH, The (1982)",Adventure|Animation|Children|Drama
2150,"Gods Must Be Crazy, The (1980)",Adventure|Comedy
2161,"NeverEnding Story, The (1984)",Adventure|Children|Fantasy
2194,"Untouchables, The (1987)",Action|Crime|Drama
2268,"Few Good Men, A (1992)",Crime|Drama|Thriller
2273,Rush Hour (1998),Action|Comedy|Crime|Thriller
2294,Antz (1998),Adventure|Animation|Children|Comedy|Fantasy
2324,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War
2351,"Nights of Cabiria (Notti di Cabiria, Le) (1957)",Drama
2355,"Bug's Life, A (1998)",Adventure|Animation|Children|Comedy
2359,Waking Ned Devine (a.k.a. Waking Ned) (1998),Comedy
2396,Shakespeare in Love (1998),Comedy|Drama|Romance
2406,Romancing the Stone (1984),Action|Adventure|Comedy|Romance
2421,"Karate Kid, Part II, The (1986)",Action|Adventure|Drama
2470,Crocodile Dundee (1986),Adventure|Comedy
2496,Blast from the Past (1999),Comedy|Romance
2501,October Sky (1999),Drama
2571,"Matrix, The (1999)",Action|Sci-Fi|Thriller
2573,Tango (1998),Drama|Musical
2617,"Mummy, The (1999)",Action|Adventure|Comedy|Fantasy|Horror|Thriller
2632,"Saragossa Manuscript, The (Rekopis znaleziony w Saragossie) (1965)",Adventure|Drama|Mystery
2640,Superman (1978),Action|Adventure|Sci-Fi
2643,Superman IV: The Quest for Peace (1987),Action|Adventure|Sci-Fi
2692,Run Lola Run (Lola rennt) (1998),Action|Crime
2694,Big Daddy (1999),Comedy
2720,Inspector Gadget (1999),Action|Adventure|Children|Comedy
2745,"Mission, The (1986)",Drama
2761,"Iron Giant, The (1999)",Adventure|Animation|Children|Drama|Sci-Fi
2762,"Sixth Sense, The (1999)",Drama|Horror|Mystery
2797,Big (1988),Comedy|Drama|Fantasy|Romance
2815,Iron Eagle (1986),Action|War
2843,"Black Cat, White Cat (Crna macka, beli macor) (1998)",Comedy|Romance
2858,American Beauty (1999),Drama|Romance
2918,Ferris Bueller's Day Off (1986),Comedy
2987,Who Framed Roger Rabbit? (1988),Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery
3098,"Natural, The (1984)",Drama
3105,Awakenings (1990),Drama|Mystery
3107,Backdraft (1991),Action|Drama
3114,Toy Story 2 (1999),Adventure|Animation|Children|Comedy|Fantasy
3148,"Cider House Rules, The (1999)",Drama
3175,Galaxy Quest (1999),Adventure|Comedy|Sci-Fi
3360,Hoosiers (a.k.a. Best Shot) (1986),Drama|Romance
3396,"Muppet Movie, The (1979)",Adventure|Children|Comedy|Musical
3448,"Good Morning, Vietnam (1987)",Comedy|Drama|War
3479,Ladyhawke (1985),Adventure|Fantasy|Romance
3510,Frequency (2000),Drama|Thriller
3569,"Idiots, The (Idioterne) (1998)",Comedy|Drama
3578,Gladiator (2000),Action|Adventure|Drama
3793,X-Men (2000),Action|Adventure|Sci-Fi
3889,Highlander: Endgame (Highlander IV) (2000),Action|Adventure|Fantasy
3916,Remember the Titans (2000),Drama
3948,Meet the Parents (2000),Comedy
3949,Requiem for a Dream (2000),Drama
3994,Unbreakable (2000),Drama|Sci-Fi
4016,"Emperor's New Groove, The (2000)",Adventure|Animation|Children|Comedy|Fantasy
4019,Finding Forrester (2000),Drama
4022,Cast Away (2000),Drama
4023,"Family Man, The (2000)",Comedy|Drama|Romance
4103,Empire of the Sun (1987),Action|Adventure|Drama|War
4144,In the Mood For Love (Fa yeung nin wa) (2000),Drama|Romance
4299,"Knight's Tale, A (2001)",Action|Comedy|Romance
4306,Shrek (2001),Adventure|Animation|Children|Comedy|Fantasy|Romance
4308,Moulin Rouge (2001),Drama|Musical|Romance
4325,"Night, The (Notte, La) (1960)",Drama
4422,Cries and Whispers (Viskningar och rop) (1972),Drama
4535,"Man from Snowy River, The (1982)",Drama|Romance|Western
4571,Bill & Ted's Excellent Adventure (1989),Adventure|Comedy|Sci-Fi
4703,Chocolat (1988),Drama
4720,"Others, The (2001)",Drama|Horror|Mystery|Thriller
4857,Fiddler on the Roof (1971),Drama|Musical
4874,K-PAX (2001),Drama|Fantasy|Mystery|Sci-Fi
4886,"Monsters, Inc. (2001)",Adventure|Animation|Children|Comedy|Fantasy
4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy
4963,Ocean's Eleven (2001),Crime|Thriller
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",Comedy|Romance
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",Adventure|Fantasy
4995,"Beautiful Mind, A (2001)",Drama|Romance
5010,Black Hawk Down (2001),Action|Drama|War
5103,"Sandlot, The (1993)",Children|Comedy|Drama
5147,Wild Strawberries (Smultronstället) (1957),Drama
5269,"Piano Teacher, The (La pianiste) (2001)",Drama
5349,Spider-Man (2002),Action|Adventure|Sci-Fi|Thriller
5418,"Bourne Identity, The (2002)",Action|Mystery|Thriller
5445,Minority Report (2002),Action|Crime|Mystery|Sci-Fi|Thriller
5574,"Transporter, The (2002)",Action|Crime
5684,Naqoyqatsi (2002),Documentary
5767,Teddy Bear (Mis) (1981),Comedy|Crime
5816,Harry Potter and the Chamber of Secrets (2002),Adventure|Fantasy
5878,Talk to Her (Hable con Ella) (2002),Drama|Romance
5912,Hit the Bank (Vabank) (1981),Comedy|Crime
5952,"Lord of the Rings: The Two Towers, The (2002)",Adventure|Fantasy
5955,Antwone Fisher (2002),Drama
6016,City of God (Cidade de Deus) (2002),Action|Adventure|Crime|Drama|Thriller
6156,Shanghai Knights (2003),Action|Adventure|Comedy
6157,Daredevil (2003),Action|Crime
6213,Tears of the Sun (2003),Action|Drama|Thriller
6287,Anger Management (2003),Comedy
6311,"Other Side of Heaven, The (2001)",Adventure|Drama
6333,X2: X-Men United (2003),Action|Adventure|Sci-Fi|Thriller
6370,"Spanish Apartment, The (L'auberge espagnole) (2002)",Comedy|Drama|Romance
6377,Finding Nemo (2003),Adventure|Animation|Children|Comedy
6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action|Adventure|Comedy|Fantasy
6565,Seabiscuit (2003),Drama
6711,Lost in Translation (2003),Comedy|Drama|Romance
6753,Secondhand Lions (2003),Children|Comedy|Drama
6879,Runaway Jury (2003),Drama|Thriller
6947,Master and Commander: The Far Side of the World (2003),Adventure|Drama|War
6954,"Barbarian Invasions, The (Les invasions barbares) (2003)",Comedy|Crime|Drama|Mystery|Romance
7004,Kindergarten Cop (1990),Action|Comedy|Crime|Thriller
7007,"Last Boy Scout, The (1991)",Action|Comedy|Crime|Drama|Thriller
7075,"Court Jester, The (1956)",Adventure|Comedy|Musical
7090,Hero (Ying xiong) (2002),Action|Adventure|Drama
7143,"Last Samurai, The (2003)",Action|Adventure|Drama|War
7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
7162,Cold Mountain (2003),Drama|Romance|War
7209,"M. Hulot’s Holiday (Mr. Hulot's Holiday) (Vacances de Monsieur Hulot, Les) (1953)",Comedy
7234,"Strada, La (1954)",Drama
7318,"Passion of the Christ, The (2004)",Drama
7323,"Good bye, Lenin! (2003)",Comedy|Drama
7327,Persona (1966),Drama
7361,Eternal Sunshine of the Spotless Mind (2004),Drama|Romance|Sci-Fi
7365,Noi the Albino (Nói albinói) (2003),Drama
7386,"Ten Commandments, The (1956)",Adventure|Drama
7624,School Ties (1992),Drama
7820,"Virgin Spring, The (Jungfrukällan) (1960)",Crime|Drama
7937,"Silence, The (Tystnaden) (1963)",Drama
7938,Winter Light (Nattvardsgästerna) (1963),Drama
7939,Through a Glass Darkly (Såsom i en spegel) (1961),Drama
7940,The Magician (1958),Drama
8010,"Power of One, The (1992)",Drama
8014,"Spring, Summer, Fall, Winter... and Spring (Bom yeoreum gaeul gyeoul geurigo bom) (2003)",Drama
8154,"Dolce Vita, La (1960)",Drama
8327,Dolls (2002),Drama|Romance
8360,Shrek 2 (2004),Adventure|Animation|Children|Comedy|Musical|Romance
8368,Harry Potter and the Prisoner of Azkaban (2004),Adventure|Fantasy|IMAX
8405,Hour of the Wolf (Vargtimmen) (1968),Drama|Horror
8636,Spider-Man 2 (2004),Action|Adventure|Sci-Fi|IMAX
8665,"Bourne Supremacy, The (2004)",Action|Crime|Thriller
8685,"Miracle of Marcelino, The (Marcelino pan y vino) (1955)",Comedy|Drama
8729,Swann in Love (Un amour de Swann) (1984),Drama
8786,Port of Shadows (Quai des brumes) (1938),Drama
8873,"Motorcycle Diaries, The (Diarios de motocicleta) (2004)",Adventure|Drama
8958,Ray (2004),Drama
8961,"Incredibles, The (2004)",Action|Adventure|Animation|Children|Comedy
8970,Finding Neverland (2004),Drama
8973,Bad Education (La mala educación) (2004),Drama|Thriller
27193,Taxi 2 (2000),Action|Comedy
27266,2046 (2004),Drama|Fantasy|Romance|Sci-Fi
27721,"Very Long Engagement, A (Un long dimanche de fiançailles) (2004)",Drama|Mystery|Romance|War
27821,"Interpreter, The (2005)",Drama|Thriller
30749,Hotel Rwanda (2004),Drama|War
30848,"Love Song for Bobby Long, A (2004)",Drama
31923,"Three Musketeers, The (1973)",Action|Adventure|Comedy
31956,5x2 (2004),Drama|Romance
32591,Look at Me (Comme une image) (2004),Comedy|Drama|Romance
33166,Crash (2004),Crime|Drama
33493,Star Wars: Episode III - Revenge of the Sith (2005),Action|Adventure|Sci-Fi
33660,Cinderella Man (2005),Drama|Romance
33794,Batman Begins (2005),Action|Crime|IMAX
34162,Wedding Crashers (2005),Comedy|Romance
35836,"40-Year-Old Virgin, The (2005)",Comedy|Romance
36527,Proof (2005),Drama
40815,Harry Potter and the Goblet of Fire (2005),Adventure|Fantasy|Thriller|IMAX
